id,tweet,class,sentiment_intensity,class_intensity,labels
20801,"@gypsydragoness wrinkling up. 'Well now, looks here like your name starts with the letter G, eh?' The man smiled up and gave a hearty +",fear,low,fear_low,4
40311,An @amityaffliction kind of drive home from work today #nightmare #dailyfeels,anger,medium,anger_medium,2
40110,Going home is depressing,fear,medium,fear_medium,5
20730,"I miss my gran singing Rawhide, in her deep baritone growl.",sadness,medium,sadness_medium,11
10582,"@residentadvisor thanks for getting back to me, exemplary customer service for a loyal customer #jk  #residentadvisor #poorservice",anger,low,anger_low,1
10299,"3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys? #terrible #customerservice #2hour #waittime",sadness,low,sadness_low,10
30348,@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !,fear,medium,fear_medium,5
40596,"@spencer0415 awe, I love you kid!!",fear,medium,fear_medium,5
20341,"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...",sadness,medium,sadness_medium,11
40108,@safety @Support \nHi 🌷\nWhy do you always suspend ISIS hunters\n \n👉@snafy2019\n\nKindly please reinstate our members\n*He fights terrorism d/n,joy,high,joy_high,6
10926,I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,low,fear_low,4
21028,I lost my blinders .... #panic,fear,low,fear_low,4
30792,the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,sadness,low,sadness_low,10
10713,"# ISIS REFERENCES SCRUBBED?  Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ...  #news",fear,medium,fear_medium,5
30118,Queen Bey will be smiling over sixth this afternoon,joy,medium,joy_medium,8
10701,@MichaelSalfino It still destroys Fear The Walking Dead. That show is horrible,anger,medium,anger_medium,2
30498,@vibaby @imEB y'all had crackheads in the islands? I don't know why I find that so interesting and shocking,fear,high,fear_high,3
30005,"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums #awful",sadness,low,sadness_low,10
40809,@RLH2606 if u know who died.. I would also burst out crying....\nFrom JOY!!! 😉,sadness,low,sadness_low,10
30272,"@TheYoungEvans_ 'Kylie, you know me. I won't take no for answer for this kind of things...' *he would smirk and start on the crust.*",joy,medium,joy_medium,8
20376,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. ,fear,medium,fear_medium,5
40318,Watch this amazing live.ly broadcast by @hannah..mccloud #lively #musically,joy,medium,joy_medium,8
40521,@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,fear,high,fear_high,3
10829,Democracy doesn't work\n#mob #mentality #mass #hysteria #fear #mongering #oligarchy,joy,high,joy_high,6
30349,"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy,medium,joy_medium,8
30887,I keep feeling the heaviness on my left hand and look down and I am in awe every single time 😍💍 #notusedtoit #imafiancée #wut,fear,high,fear_high,3
10600,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,fear,medium,fear_medium,5
30884,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall,fear,low,fear_low,4
10121,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor #exhilarating #NYCletsgo,sadness,medium,sadness_medium,11
30440,@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.,anger,low,anger_low,1
10064,It's meant to be!!  ,fear,medium,fear_medium,5
10850,@honevbee close up shots of my ugly mug as I continue to talk about Blaine years after glee has been dead,joy,high,joy_high,6
30139,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,anger,high,anger_high,0
40858,“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,fear,high,fear_high,3
30044,"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat",sadness,medium,sadness_medium,11
20706,@NHLstoreNYC I'm cheering for @TeamNA_WCH and @TeamEUR_WCH #NHLNYCSweepstakes,anger,medium,anger_medium,2
20214,One more step in long work #visa process is over. Relief. Onto next step. #expat #restless,joy,low,joy_low,7
10087,In serious need of a nap,sadness,high,sadness_high,9
10082,@madisenrb she's so sweet &amp; playful 😍,joy,high,joy_high,6
20457,Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,fear,medium,fear_medium,5
40102,There goes the butterflies in my stomach.  #anxietyproblems,anger,medium,anger_medium,2
10685,Smokeys dad is sad :/,joy,medium,joy_medium,8
40295,"@aidanparr haha!! No, sorry was it too grim even for you?! It disturbed me &amp; im starting to lose all trust in Twitter generally!!",sadness,high,sadness_high,9
20741,i feel furious,joy,low,joy_low,7
40675,Im really constipated. This is depressing,fear,medium,fear_medium,5
40580,Am I watching #BacheloretteAU or Zoolander ? #hilarious #samvrhys,sadness,low,sadness_low,10
20134,@KimLy resent,anger,high,anger_high,0
40204,i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite,joy,medium,joy_medium,8
20296,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious,fear,medium,fear_medium,5
20843,@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},anger,medium,anger_medium,2
30518,@khloe_speaks sad music,fear,low,fear_low,4
20568,Brendan Rodgers looks fuming 😭,joy,low,joy_low,7
40577,@FFBren @CDCarter13 included for maximum #sadness,fear,medium,fear_medium,5
40548,A joyous first webiversary/web mitzvah to Smithsonian's @WeiPoints!! @brianwolly @jackie_mansky @bethpylieberman @bilbo @mazeltov,joy,medium,joy_medium,8
20878,horrid having a car n no liscence,joy,medium,joy_medium,8
30754,watching this uni reveal is so depressing i miss stingrays :(,sadness,high,sadness_high,9
10285,@RiRiMathew even when we're fighting I'm laughing. I probably have serious ingrained issues😂🤗,joy,medium,joy_medium,8
40211,"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 ",anger,high,anger_high,0
10241,"@Theshadeshit91 \nOh, I'm sorry about it, do not be sad yourself there is nothing important in the world to grieve about it",joy,medium,joy_medium,8
40374,my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :):),fear,high,fear_high,3
20543,The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,joy,high,joy_high,6
30502,@scdesc Yup. And Val basically ignoring the recipe. I'm just done. I keep bursting into laughter x,sadness,low,sadness_low,10
20246,"LOL! @TheFrankJLopes was just awarded the “F” bomb trophy on #AutoDealerLive, @RealMatKoenig :) #serious",fear,medium,fear_medium,5
20771,I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,joy,medium,joy_medium,8
30434,"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",anger,high,anger_high,0
10276,"Today I reached 1000 subscribers on YT!! , #goodday, #thankful",anger,high,anger_high,0
20210,Don't be so shy #nl,fear,medium,fear_medium,5
40678,depress 😭,fear,high,fear_high,3
40616,@stevie7t Why does talksport sound like it's being broadcasted from someone's basement #terrible #quality #amateurs,fear,medium,fear_medium,5
30609,@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),fear,high,fear_high,3
40856,Good morning joyful people. Choose happiness to have a great day today #morning  #happiness #grandmercurejktkemayoran,fear,high,fear_high,3
30712,"Romero, Rojo, Blind, Memphis, Rooney. This is nearly a starting line up I’d wanna punch in the face rather than shake their hand.",fear,medium,fear_medium,5
10090,"@washingtondc @NMAAHC That is Noah Ark, it's a terrific design.",fear,medium,fear_medium,5
10598,"With a jovial Trump on his ass, Don King just publicly told a crowd that 'We need [him] because you will always be a nigger.'  #FuckTrump",anger,medium,anger_medium,2
20736,I'm so annoyed/sad YouTube is burning itself to the ground 🙄🙄,sadness,medium,sadness_medium,11
10413,schneiderlin taking his revenge for the 2 fouls,fear,medium,fear_medium,5
30487,@megalvz literally was gloomy for an hour,fear,high,fear_high,3
20447,@u4uzoma Boss I see you as someone that is jovial and funny. Tho av not met u in person.,fear,low,fear_low,4
20753,Watch this amazing live.ly broadcast by @flydudern #lively #musically,joy,medium,joy_medium,8
10606,"TONIGHT - Fulford Arms, York \nTOMORROW - Bank Top Tavern, Oldham\nNEXT SATURDAY- Big Hands, Manchester \n\n#livemusic #punk #blues #rockandroll",sadness,medium,sadness_medium,11
21031,@moore_oliver it's funny how they can be in such a hurry but have plenty of time to stop and threaten people,fear,low,fear_low,4
21075,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,sadness,medium,sadness_medium,11
40637,I was having a good dream.. and then my alarm went off,joy,high,joy_high,6
20865,Check out this #film Robocoq 301  #shortfilms,fear,high,fear_high,3
40779,I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes ,fear,medium,fear_medium,5
40087,"@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous 😶",joy,medium,joy_medium,8
10226,Somehow 90% of the sausage in this pasta I made sunk to the bottom so I'm eating sausage with a tiny bit of leftover pasta,joy,low,joy_low,7
40048,"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing",joy,medium,joy_medium,8
10648,Follow this amazing Australian author @KristyBerridge #fiction #horror #zombies #angels #demons #vampires #werewolves #follow #authorlove,fear,high,fear_high,3
10706,@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. ,joy,high,joy_high,6
21079,"@darryella it doesn't chip and it doesn't get dull. Nails gone be looking perfect the whole time, except they gone be grown out 😂",anger,low,anger_low,1
40768,@KarenL109 replace the carpet!! #shocking !!!!,fear,medium,fear_medium,5
40842,@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. ,fear,medium,fear_medium,5
30432,"Everywhere I go, the air I breathe in tastes like home.' - @The_Currys #restless",anger,medium,anger_medium,2
10303,"There's a specific joyous 20 song title engiybhekayo, yasezayoni. Need it for le mood",fear,medium,fear_medium,5
40405,@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥,joy,medium,joy_medium,8
30544,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,joy,medium,joy_medium,8
10650,"And the weather so breezy, man why can't life always be this easy",joy,high,joy_high,6
30702,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight,fear,medium,fear_medium,5
10410,I wish there was a #glee version of @ShawnMendes Stitches. @GLEEonFOX #gleekforever,anger,medium,anger_medium,2
20243,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,sadness,high,sadness_high,9
30425,@88Palouseriver @ABC @NRA I rejoice everything time some moron is taken out of the genetics pool.,anger,medium,anger_medium,2
10541,"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍",anger,high,anger_high,0
21037,@leeuwlion 'The furries are restless tonight'.,joy,high,joy_high,6
40159,okay i AHVE to start mob psycho 100 today. if i dont im going to fight myself,fear,medium,fear_medium,5
21020,@kcbbcxo don't get discouraged! it's early on &amp; it can get overwhelming. keep reading &amp; use cue cards 😊 it'll get better!!,fear,low,fear_low,4
40151,Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice,sadness,high,sadness_high,9
20035,@DreKnott You've got tremendous range.,anger,medium,anger_medium,2
10810,Why mfs so bitter,anger,medium,anger_medium,2
10886,@ArcticFantasy I would have almost took offense to this if I actually snapped you,joy,low,joy_low,7
30029,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch 🙈 soo cute 🐺,fear,medium,fear_medium,5
40408,@MichiganBromo Good optimism sir :),fear,low,fear_low,4
20225,so gutted i dropped one of my earrings down the sink at school,fear,low,fear_low,4
20504,Is it terrorism to intimidate a populace? What case held 'coercion by people in uniform is per se intimidation'?,fear,low,fear_low,4
10936,Andrew's hands start shaking and he says 'I hope I die.. like right now',fear,medium,fear_medium,5
20902,@marthalyssa yep. LOL ,fear,low,fear_low,4
10015,Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops,joy,low,joy_low,7
20921,@Corsair those sparkling looks like a gay vampire 😁,sadness,medium,sadness_medium,11
10779,Trying to book holiday flights on @britishairways website is becoming a ,fear,low,fear_low,4
10703,@DanLanthier That was exhilarating hockey. They're still out if Russia wins in regulation I'm reading. #fuck,fear,medium,fear_medium,5
20394,It's weird because I was discussing sex resentment and confusion in the thing I was writing last night.,anger,medium,anger_medium,2
10342,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,fear,high,fear_high,3
10001,@LPDonovan this is why I think his pre prepped debate answers have the potential for hilarity,fear,low,fear_low,4
30181,Who got madden 17 or 2k17 ps4 add TrackdawgT lets run it,fear,low,fear_low,4
30166,@Nxrthstxr I think it's the daunting fact of the typical offer being those grades. Even though it's been proven not to be the case exactly,sadness,medium,sadness_medium,11
30041,@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,fear,high,fear_high,3
10161,"As your own lives in order to complete our amazing life journey successfully, it is there. ",joy,medium,joy_medium,8
30203,"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",joy,medium,joy_medium,8
30369,Checked-in for my flight to Toronto. Took seat 3D just to infuriate @perpetualgeek.,fear,medium,fear_medium,5
30420,@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?,fear,medium,fear_medium,5
10607,Penny dreadful 3 temporada,joy,medium,joy_medium,8
10011,@ashleighjessica @zacflint1 I'd give that pout the firm D,sadness,medium,sadness_medium,11
20611,And you as well! #sparkling @cherebork @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen,fear,medium,fear_medium,5
40046,Tutoring gives me such an exhilarating feeling. I love helping people 😌,anger,medium,anger_medium,2
10401,Think I really broke young bull hurt 😂😂😭😭 u can tell by how bitter and mad he is 😊😊😩😩,sadness,medium,sadness_medium,11
20004,"@ParrishWalton @kjmgolf Also, our best assets on offense are our RB's and our WR's (longterm). Have to have an offense to utilize both.",sadness,medium,sadness_medium,11
10164,#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,fear,medium,fear_medium,5
40572,@SteveBryantArt I was pretty sure it was a Golden Ticket. Get a tour. Make a mistake. Something horrific will happen to you. Good day sir.,joy,high,joy_high,6
40198,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,fear,low,fear_low,4
30900,A concern of mine is that big name FA(like Malik) will tell other big potential FA's to steer clear of this franchise till Gus is gone.,anger,high,anger_high,0
20868,"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",fear,medium,fear_medium,5
10168,I think they may be #offended,sadness,medium,sadness_medium,11
30723,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,joy,medium,joy_medium,8
10421,@Nick_Offerman I'll be there!! Can't wait for all the !,fear,medium,fear_medium,5
20350,@BlairWitchMovie love new movie\n #BlairWitch #blairwitchproject  #HorrorMovies,fear,low,fear_low,4
40493,Where's your outrage when a black man kills another black man in the streets?,fear,medium,fear_medium,5
10542,@Bookselenaxxx @Hustler @Bookselenaxxx @Hustler \n👅💦👅💦👅💦👅💦👅💦👅that hot pussy unappetizing that delight,anger,medium,anger_medium,2
10353,the Lord turn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected #delight,anger,medium,anger_medium,2
21088,It's never the end / When the moment is dire. / A small spark of hope / Can relight a new fire.,anger,medium,anger_medium,2
30594,So not pumped for this interview ,fear,high,fear_high,3
10912,@delhi_lawyer @BhagwanUvach @ShivAroor sad . This is not film story. Who knows could be ploy to escalate tension. Unverified report no hype,fear,high,fear_high,3
10887,It's meant to be!! #happy #happy,sadness,medium,sadness_medium,11
20115,@KateyKeegan now I'm really excited for November! Hope they're not all horrid chavs though 😅,sadness,low,sadness_low,10
10919,"@_haye_ optimism is he'll lose, that's actually a compromise :P",anger,low,anger_low,1
30246,"Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion.",anger,low,anger_low,1
10774,It's easy to hold a grudge harder to let go.,fear,medium,fear_medium,5
21030,@serendipity127_ @zombiecalorie @Angel_Eyes66 I'm sensing a theme here tho lol ,sadness,low,sadness_low,10
20220,@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,fear,low,fear_low,4
40448,I need some to help with my anger,sadness,medium,sadness_medium,11
30040,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed 😢,joy,low,joy_low,7
10833,Can't start a good day without a cup of tea! \n\n#tea #start #day #goodday,fear,high,fear_high,3
10885,"The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.",sadness,low,sadness_low,10
20880,We ashamed of being an ally to you. Pakistan sacrificed almost 50000 civilians by siding you in war on #terror @JudgeTedPoe,joy,low,joy_low,7
10227,Oh I get i see it's #TexasTech playing tonight not the #Texans #TNF #texansarebad #terrible,joy,medium,joy_medium,8
10238,Cross Party Group on Crofting meeting tonight in @ScotParl. Suspect it's going to be a lively meeting....,fear,medium,fear_medium,5
20806,"When you wake up, scroll through social media, and another father was taken from his child #nightmare #everyday #KeithLamontScott",fear,low,fear_low,4
20897,"@WTFISaHashtag1 @MuslimIQ The problem is that right wing extremist terror groups aren't given coverage, press not interested",fear,low,fear_low,4
30761,Rap that will Cut other raper's throat. Who said that? @Paedeezy #badd #wicked. #bright city lights,sadness,low,sadness_low,10
30470,"I start work tmrw yall, i'm nervous lol",joy,low,joy_low,7
40183,What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,sadness,high,sadness_high,9
30782,@CrucialBMXShop ohh silver lake came up a lot on there! Is that where you guys stayed?,fear,medium,fear_medium,5
10441,@JaySekulow what can we do 2 get @realDonaldTrump 2 reveal his taxes? That is the immediate danger. But u will not answer me. ,sadness,medium,sadness_medium,11
20614,It's really alarming when an adult male calls their father 'daddy',fear,medium,fear_medium,5
30822,Tom Phillips being all jovial at the start of this week's show when Joe is strutting out after that video package is quite the juxtaposition,sadness,high,sadness_high,9
30252,Watch this amazing live.ly broadcast by @its.finfin  #musically,fear,medium,fear_medium,5
21021,as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,joy,low,joy_low,7
30224,@trashcami this cured my depression,sadness,medium,sadness_medium,11
40753,@__PeterPanda yes bro it's actually breezy,fear,medium,fear_medium,5
40284,"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp ",joy,high,joy_high,6
40500,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,fear,low,fear_low,4
